x1,x2,Class
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
-1.977627783078260926e+00,9.107956712998084292e-01,0.000000000000000000e+00
-2.421548773317758307e+00,-6.841361622437165391e-01,0.000000000000000000e+00
-2.400029613374306425e+00,-9.206629782761670544e-01,0.000000000000000000e+00
2.807816776180290574e+00,-3.396009866868240579e+00,0.000000000000000000e+00
-2.937309816208732105e+00,-1.141245550146544385e+00,0.000000000000000000e+00
-1.506070088872421664e+00,-1.710188425767743547e+00,0.000000000000000000e+00
-1.321899092056274316e+00,-2.105649228924914240e+00,0.000000000000000000e+00
1.134877066714949034e+00,-2.981363413302607235e+00,0.000000000000000000e+00
-5.279607641622225955e+00,-1.693543115695208101e+00,0.000000000000000000e+00
-3.421794649907685670e+00,-2.486450634473845067e+00,0.000000000000000000e+00
2.756155941613747107e-01,-1.579198592153604475e+00,0.000000000000000000e+00
-2.564242921467858594e+00,-7.974727904072698159e-01,0.000000000000000000e+00
-3.567021231703034978e+00,-2.452663412463297554e+00,0.000000000000000000e+00
-2.717887405384828092e+00,-6.487430170953690123e+00,0.000000000000000000e+00
-8.754284219123760480e-02,-5.361168251434346388e+00,0.000000000000000000e+00
7.082695715823428273e-01,-2.066777192133704588e+00,0.000000000000000000e+00
-2.503137748381466743e+00,5.227867481573280628e-01,0.000000000000000000e+00
-4.614530965977574062e-01,-1.982902221716441149e+00,0.000000000000000000e+00
-1.221857762675337300e+00,-3.091007382421140370e+00,0.000000000000000000e+00
-2.113305391014576706e+00,-2.175885029137206494e+00,0.000000000000000000e+00
-4.366636954256947756e-01,-3.946896231780536723e+00,0.000000000000000000e+00
7.333716518563200282e-01,-1.060687434192615797e+00,0.000000000000000000e+00
-7.806321999426879543e-02,-1.812191815175157705e+00,0.000000000000000000e+00
-1.876739123892861683e+00,3.846268431639248142e-01,0.000000000000000000e+00
-2.373753150239386489e+00,-2.332708946112991732e+00,0.000000000000000000e+00
-1.054731440730838354e+00,-2.428537718016607005e+00,0.000000000000000000e+00
-2.506938561307524349e+00,-2.371005666897898490e+00,0.000000000000000000e+00
1.473289975782629213e+00,-3.421892441261188633e+00,0.000000000000000000e+00
-1.658650280125960386e+00,1.065023430409719696e+00,0.000000000000000000e+00
-1.596407586499607678e+00,-1.492551719040533076e+00,0.000000000000000000e+00
1.480708935842930951e-01,-1.299946770659170747e+00,0.000000000000000000e+00
-3.075136861768478891e+00,-1.559954394743409134e+00,0.000000000000000000e+00
-1.209439059259215909e+00,2.854668960658610088e-01,0.000000000000000000e+00
-1.666634372658122087e+00,-5.336118456847622760e-01,0.000000000000000000e+00
-7.692391550476110895e-01,-4.600630212386533913e+00,0.000000000000000000e+00
-3.229806790488328083e+00,-3.002246587306681036e+00,0.000000000000000000e+00
-2.254050235529669877e-02,-5.015928650855135729e+00,0.000000000000000000e+00
-1.132748414591229213e+00,-7.726873203032751380e-01,0.000000000000000000e+00
-6.362630014303817250e-01,-1.909477130897751618e+00,0.000000000000000000e+00
-1.325581266025675831e+00,-1.580816717983991815e+00,0.000000000000000000e+00
-2.797472273106134555e+00,-4.839950898145818914e-01,0.000000000000000000e+00
-4.792140167197551093e-01,-4.357578633072721530e+00,0.000000000000000000e+00
-2.017520271255976994e-01,-1.545329192233892313e+00,0.000000000000000000e+00
-2.145495352999709837e+00,-1.422596459054155549e+00,0.000000000000000000e+00
-2.890981795861463866e+00,-8.006788309988639440e-01,0.000000000000000000e+00
-2.897413499773302981e+00,6.756902628576968439e-01,0.000000000000000000e+00
-2.454737143499454710e+00,-4.340562277927628165e-01,0.000000000000000000e+00
-2.284908239641637362e+00,-1.607090655304711291e+00,0.000000000000000000e+00
-2.990755010597027752e+00,-1.492774484619538322e+00,0.000000000000000000e+00
-3.552259247627084449e+00,-9.954737661969843554e-01,0.000000000000000000e+00
-1.204513891331313813e+00,-2.068185878873246342e+00,0.000000000000000000e+00
-1.834749538438313232e+00,-3.615492267602783194e+00,0.000000000000000000e+00
-3.579538129663863533e+00,-5.310314534276377785e+00,0.000000000000000000e+00
-2.228653216296190731e+00,-3.558107866157311783e+00,0.000000000000000000e+00
-1.376112243935621926e+00,-6.209323826707235927e-01,0.000000000000000000e+00
2.045208764689085967e-01,-3.981004370473231191e-01,0.000000000000000000e+00
-2.022908484522496941e+00,-4.221583902406557343e+00,0.000000000000000000e+00
-2.650352939075351077e-01,-3.190809075787535143e+00,0.000000000000000000e+00
